"id_player","id_team","player_name","nationality","field_position","age","team_country","team","assists","corners_taken","offsides","dribbles","total_attempts","attempts_on_target","attempts_off_target","blocked","balls_recovered","tackles","tackles_won","tackles_lost","clearance_attempted","X","fouls_committed","fouls_suffered","yellow_cards","red_cards","passing_accuracy...","passes_attempted","passes_completed","crossing_accuracy...","crosses_attempted","crosses_completed","free_kick_taken","goals","inside_area","outside_area","right_foot","left_foot","head","other","penalties_scored","distance_covered.km.h.","top_speed","minutes_played","matches_appareance"
250013058,52969,"Charalampos Lykogiannis","Greece","Defender",31,"Italy","Bologna FC 1909",0,5,1,3,2,1,1,0,9,4,3,1,4,403,1,3,1,0,84.5,65,55,14.29,7,1,5,0,0,0,0,0,0,0,0,20.55,32.75,168,2
250014042,50050,"Callum McGregor","Scotland","Midfielder",31,"Scotland","Celtic FC",0,0,0,2,2,1,1,0,21,4,2,2,6,112,4,3,0,0,91.5,246,227,0,1,0,7,0,0,0,0,0,0,0,0,50.46,29.71,360,4
250014114,50149,"Ricardo Esgaio","Portugal","Defender",31,"Portugal","Sporting Clube de Portugal",0,0,0,0,0,0,0,0,3,1,1,0,2,667,0,0,0,0,82,40,33,0,0,0,0,0,0,0,0,0,0,0,0,6.46,30.65,56,1
250014636,2603790,"Kevin Kampl","Slovenia","Midfielder",34,"Germany","RB Leipzig",1,8,0,0,0,0,0,0,8,1,0,1,1,492,1,0,0,0,98,61,59,22.23,9,2,4,0,0,0,0,0,0,0,0,15.4,28.77,106,2
250014709,52816,"Marten de Roon","Netherlands","Midfielder",33,"Italy","Atalanta BC",0,0,0,0,1,1,0,0,29,6,3,3,4,159,4,0,0,0,93.75,254,238,0,4,0,5,0,0,0,0,0,0,0,0,45.92,32.82,360,4
250015966,52816,"Juan Cuadrado","Colombia","Midfielder",36,"Italy","Atalanta BC",0,2,0,2,2,0,2,0,1,3,1,2,0,416,1,3,0,0,83,38,32,0,4,0,0,0,0,0,0,0,0,0,0,8.92,30.54,66,3
250016616,50069,"Uroš Spajić","Serbia","Defender",31,"Serbia","FK Crvena Zvezda",0,0,0,0,0,0,0,0,27,7,5,2,25,97,4,5,1,0,86.75,165,148,0,1,0,8,0,0,0,0,0,0,0,0,36.97,31.92,360,4
250016833,50037,"Harry Kane","England","Forward",31,"Germany","FC Bayern München",1,0,3,10,20,12,6,2,3,2,1,1,1,263,2,6,0,0,82,118,97,0,1,0,0,5,5,0,5,0,0,0,3,43.71,30.35,360,4
250017040,50147,"Nicolás Otamendi","Argentina","Defender",36,"Portugal","SL Benfica",0,0,0,0,1,0,1,0,22,4,3,1,25,441,1,1,0,0,95,232,222,0,0,0,6,0,0,0,0,0,0,0,0,38.44,30.16,360,4
250017824,52758,"Emre Can","Germany","Defender",30,"Germany","Borussia Dortmund",1,0,0,5,1,1,0,0,17,9,2,7,6,10,8,6,0,0,88.25,213,197,0,0,0,10,1,1,0,1,0,0,0,1,35.26,33.52,284,4
250019346,50031,"Loris Benito","Switzerland","Defender",32,"Switzerland","BSC Young Boys",0,0,0,0,0,0,0,0,8,0,0,0,5,363,2,0,0,0,90,81,73,0,0,0,2,0,0,0,0,0,0,0,0,15.06,31.66,123,2
250019498,50124,"Antoine Griezmann","France","Forward",33,"Spain","Atlético de Madrid",2,9,1,2,8,1,6,1,7,3,1,2,0,422,1,2,0,0,83.25,179,150,28.58,14,4,3,1,1,0,1,0,0,0,0,38.67,30.89,314,4
250019573,52749,"Gernot Trauner","Austria","Defender",32,"Netherlands","Feyenoord",0,0,2,1,4,0,3,1,26,6,2,4,6,135,4,1,1,0,88.25,235,212,0,0,0,3,0,0,0,0,0,0,0,0,31.19,31.59,271,4
250019616,50111,"Tomi Horvat","Slovenia","Midfielder",25,"Austria","SK Sturm Graz",0,3,0,0,3,0,2,1,3,3,1,2,0,304,2,2,1,0,91,51,45,25,4,1,1,0,0,0,0,0,0,0,0,21.44,28.23,140,4
250020850,2601306,"Jonas Martin","France","Midfielder",34,"France","Stade Brestois 29",0,0,0,2,3,3,0,0,2,1,1,0,1,597,0,1,0,0,81.67,37,31,0,0,0,1,0,0,0,0,0,0,0,0,8.31,27.61,56,3
250022829,50138,"Hakan Çalhanoğlu","Türkiye","Midfielder",30,"Italy","FC Internazionale Milano",0,5,0,0,5,2,2,1,12,3,1,2,2,411,1,3,0,0,90,148,134,33.34,9,3,12,2,1,1,2,0,0,0,1,28.71,31.44,223,3
250022869,2603790,"Yussuf Poulsen","Denmark","Forward",30,"Germany","RB Leipzig",0,0,0,0,2,0,2,0,2,1,1,0,3,374,2,0,0,0,50,19,10,0,0,0,0,0,0,0,0,0,0,0,0,10.77,31.54,58,4
250023009,52280,"Leandro Trossard","Belgium","Midfielder",29,"England","Arsenal FC",1,3,0,5,7,2,5,0,5,0,0,0,2,289,2,3,0,0,75.25,109,84,60,5,3,0,0,0,0,0,0,0,0,0,36.47,32.84,276,4
250023097,52969,"Remo Freuler","Switzerland","Midfielder",32,"Italy","Bologna FC 1909",0,0,0,0,0,0,0,0,18,6,2,4,9,294,2,2,1,0,89.25,177,159,0,1,0,12,0,0,0,0,0,0,0,0,47.03,30.59,354,4
